Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Valid Location,Sector,Category,Population,In Need,Targeted,Affected,Reached
#adm1+code,#adm1+name,#adm2+code,#adm2+name,#meta+valid_location,#sector+code,#category,#population,#inneed,#targeted,#affected,#reached
,,,,Y,ALL,,12440000,8996986,5944709,,5000000
,,,,Y,ALL,total,,8546986,5494709,,
,,,,Y,CCM,,,1630963,1336270,,
,,,,Y,CCM,Adult - Female - IDP,,336705,277560,,
,,,,Y,CCM,Adult - Male - IDP,,334753,275634,,
,,,,Y,CCM,Children - Female - IDP,,383662,306691,,
,,,,Y,CCM,Children - Male - IDP,,409176,330184,,
,,,,Y,CCM,Elderly - Female - IDP,,77038,66504,,
,,,,Y,CCM,Elderly - Male - IDP,,89630,79697,,
,,,,Y,CCM,total,,1630963,1336270,,
,,,,Y,EDU,,,2035889,748800,,
,,,,Y,EDU,Female,,1079021,396864,,
,,,,Y,EDU,Male,,956868,351936,,
,,,,Y,EDU,total,,2035889,748800,,
,,,,Y,FSC,,,6978616,3968519,,
,,,,Y,FSC,Adult - Female,,271065,155780,,
,,,,Y,FSC,Adult - Male,,227241,128238,,
,,,,Y,FSC,Children - Female,,1894481,1080225,,
,,,,Y,FSC,Children - Male,,1919955,1095982,,
,,,,Y,FSC,Elderly - Female,,1353981,767635,,
,,,,Y,FSC,Elderly - Male,,1311892,740660,,
,,,,Y,FSC,total,,6978616,3968519,,
,,,,Y,HEA,,,6324453,3234718,,
,,,,Y,HEA,Adult - Female - Host Communities,,65468,35846,,
,,,,Y,HEA,Adult - Female - IDP,,260234,260234,,
,,,,Y,HEA,Adult - Female - Refugees,,265405,148320,,
,,,,Y,HEA,Adult - Female - Returnees,,51512,30321,,
,,,,Y,HEA,Adult - Male - Host Communities,,206528,121742,,
,,,,Y,HEA,Adult - Male - IDP,,98370,56471,,
,,,,Y,HEA,Adult - Male - Refugees,,94335,53403,,
,,,,Y,HEA,Adult - Male - Returnees,,203185,118803,,
,,,,Y,HEA,Children - Female - Host Communities,,122834,122834,,
,,,,Y,HEA,Children - Female - IDP,,655369,655369,,
,,,,Y,HEA,Children - Female - Refugees,,683972,291773,,
,,,,Y,HEA,Children - Female - Returnees,,118539,52320,,
,,,,Y,HEA,Children - Male - Host Communities,,638456,264264,,
,,,,Y,HEA,Children - Male - IDP,,315464,132179,,
,,,,Y,HEA,Children - Male - Refugees,,297333,124185,,
,,,,Y,HEA,Children - Male - Returnees,,641257,265085,,
,,,,Y,HEA,Elderly - Female - Host Communities,,64889,44178,,
,,,,Y,HEA,Elderly - Female - IDP,,300322,300322,,
,,,,Y,HEA,Elderly - Female - Refugees,,310597,310597,,
,,,,Y,HEA,Elderly - Female - Returnees,,71658,71658,,
,,,,Y,HEA,Elderly - Male - Host Communities,,298855,197943,,
,,,,Y,HEA,Elderly - Male - IDP,,147476,97828,,
,,,,Y,HEA,Elderly - Male - Refugees,,83744,83744,,
,,,,Y,HEA,Elderly - Male - Returnees,,284749,187561,,
,,,,Y,HEA,total,,6324453,3234718,,
,,,,Y,MS,,,,2941983,,
,,,,Y,MS,total,,,2941983,,
,,,,Y,NUT,,,2522320,1823764,,
,,,,Y,NUT,Children - Female - IDP,,870469,609328,,
,,,,Y,NUT,Children - Male - IDP,,809407,595074,,
,,,,Y,NUT,Children - Male - Refugees,,842444,619362,,
,,,,Y,NUT,total,,2522320,1823764,,
,,,,Y,PRO,,,5538189,2192868,,
,,,,Y,PRO,Adult - Female - Host Communities,,36829,36312,,
,,,,Y,PRO,Adult - Female - IDP,,134834,161598,,
,,,,Y,PRO,Adult - Female - Refugees,,254950,248020,,
,,,,Y,PRO,Adult - Female - Returnees,,33568,36158,,
,,,,Y,PRO,Adult - Male - Host Communities,,120993,123350,,
,,,,Y,PRO,Adult - Male - IDP,,44115,8912,,
,,,,Y,PRO,Adult - Male - Refugees,,41747,8609,,
,,,,Y,PRO,Adult - Male - Returnees,,171631,162551,,
,,,,Y,PRO,Children - Female - Host Communities,,115946,19279,,
,,,,Y,PRO,Children - Female - IDP,,558758,118941,,
,,,,Y,PRO,Children - Female - Refugees,,690596,170074,,
,,,,Y,PRO,Children - Female - Returnees,,113461,22483,,
,,,,Y,PRO,Children - Male - Host Communities,,661576,132261,,
,,,,Y,PRO,Children - Male - IDP,,233940,15158,,
,,,,Y,PRO,Children - Male - Refugees,,222659,14402,,
,,,,Y,PRO,Children - Male - Returnees,,669866,155275,,
,,,,Y,PRO,Elderly - Female - Host Communities,,59584,31385,,
,,,,Y,PRO,Elderly - Female - IDP,,223538,142974,,
